,Brand,Model,Gear,KM,Energie,Year,Price,state,region,Category
1278,PEUGEOT,3008,AUTOMATIQUE,121954,DIESEL,2016,16860.0,Normandie,Seine-Maritime,Second-Hand
1279,PEUGEOT,2008,MANUELLE,17222,ESSENCE,2019,20190.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1280,PEUGEOT,308,AUTOMATIQUE,3373,DIESEL,2021,25990.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1281,PEUGEOT,2008,MANUELLE,34038,ESSENCE,2018,15730.0,Pays de la Loire,Sarthe,Second-Hand
1282,PEUGEOT,2008,MANUELLE,22324,ESSENCE,2020,16710.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1283,CITROEN,C4,AUTOMATIQUE,60993,DIESEL,2019,16080.0,Nouvelle-Aquitaine,Dordogne,Second-Hand
1284,CITROEN,C4,MANUELLE,141723,DIESEL,2017,9340.0,Bretagne,Ille-et-Vilaine,Second-Hand
1285,CITROEN,C3,MANUELLE,19910,ESSENCE,2021,16720.0,Hauts-de-France,Nord,Second-Hand
1286,CITROEN,C3,MANUELLE,21211,ESSENCE,2019,14450.0,Auvergne-Rhône-Alpes,Loire,Second-Hand
1287,CITROEN,C1,MANUELLE,6,ESSENCE,2021,14590.0,Auvergne-Rhône-Alpes,Loire,New
1288,CITROEN,C4 CACTUS,MANUELLE,49846,ESSENCE,2019,17830.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1289,CITROEN,C3,MANUELLE,11,ESSENCE,2021,18520.0,Île-de-France,Val-de-Marne,New
1290,CITROEN,BERLINGO,MANUELLE,124211,DIESEL,2015,9610.0,Normandie,Orne,Second-Hand
1291,CITROEN,C3,MANUELLE,46961,ESSENCE,2019,13890.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1292,CITROEN,C3,MANUELLE,12644,ESSENCE,2019,14440.0,Île-de-France,Hauts-de-Seine,Second-Hand
1293,TOYOTA,AYGO,MANUELLE,11168,ESSENCE,2020,10840.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1294,TOYOTA,RAV4,AUTOMATIQUE,89859,HYBRIDE,2018,24360.0,Île-de-France,Val-d'Oise,Second-Hand
1295,TOYOTA,YARIS,AUTOMATIQUE,68637,HYBRIDE,2019,16880.0,Occitanie,Aude,Second-Hand
1296,TOYOTA,C-HR,AUTOMATIQUE,5600,HYBRIDE,2021,34700.0,Île-de-France,Paris,Second-Hand
1297,TOYOTA,C-HR,AUTOMATIQUE,13761,HYBRIDE,2019,22940.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1298,TOYOTA,AURIS,AUTOMATIQUE,28191,HYBRIDE,2019,23080.0,Occitanie,Lot,Second-Hand
1299,TOYOTA,RAV4,AUTOMATIQUE,5450,HYBRIDE,2021,47850.0,Île-de-France,Seine-et-Marne,Second-Hand
1300,TOYOTA,YARIS,AUTOMATIQUE,30852,HYBRIDE,2019,19050.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1301,TOYOTA,AYGO,MANUELLE,36609,ESSENCE,2019,10180.0,Occitanie,Aude,Second-Hand
1302,TOYOTA,YARIS,AUTOMATIQUE,25437,HYBRIDE,2020,17450.0,Île-de-France,Seine-et-Marne,Second-Hand
1303,TOYOTA,C-HR,AUTOMATIQUE,62510,HYBRIDE,2019,24240.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1304,TOYOTA,C-HR,AUTOMATIQUE,61064,HYBRIDE,2019,20460.0,Île-de-France,Seine-et-Marne,Second-Hand
1305,TOYOTA,C-HR,AUTOMATIQUE,11,HYBRIDE,2021,28430.0,Bretagne,Ille-et-Vilaine,New
1306,TOYOTA,C-HR,AUTOMATIQUE,59950,HYBRIDE,2019,19600.0,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Second-Hand
1307,VOLKSWAGEN,POLO,MANUELLE,7156,ESSENCE,2021,19960.0,Normandie,Seine-Maritime,Second-Hand
1308,VOLKSWAGEN,GOLF,AUTOMATIQUE,21060,DIESEL,2021,34500.0,Normandie,Seine-Maritime,Second-Hand
1309,VOLKSWAGEN,GOLF,MANUELLE,128836,DIESEL,2018,15110.0,Grand Est,Meuse,Second-Hand
1310,VOLKSWAGEN,GOLF,AUTOMATIQUE,12423,HYBRIDE,2021,39230.0,Occitanie,Hautes-Pyrénées,Second-Hand
1311,VOLKSWAGEN,GOLF,AUTOMATIQUE,36900,ELECTRIQUE,2020,28280.0,Nouvelle-Aquitaine,Lot-et-Garonne,Second-Hand
1312,VOLKSWAGEN,TIGUAN,MANUELLE,65097,DIESEL,2020,28540.0,Grand Est,Meuse,Second-Hand
1313,VOLKSWAGEN,GOLF,MANUELLE,126786,DIESEL,2018,15880.0,Grand Est,Meuse,Second-Hand
1314,VOLKSWAGEN,GOLF,AUTOMATIQUE,12,DIESEL,2021,40440.0,Auvergne-Rhône-Alpes,Puy-de-Dôme,New
1315,VOLKSWAGEN,GOLF,AUTOMATIQUE,67909,DIESEL,2018,22180.0,Grand Est,Meuse,Second-Hand
1316,VOLKSWAGEN,GOLF,MANUELLE,95150,ESSENCE,2016,15380.0,Auvergne-Rhône-Alpes,Haute-Savoie,Second-Hand
1317,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,10355,DIESEL,2021,46310.0,Provence-Alpes-Côte d'Azur,Vaucluse,Second-Hand
1318,VOLKSWAGEN,T-CROSS,AUTOMATIQUE,8906,ESSENCE,2021,28640.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1319,VOLKSWAGEN,POLO,MANUELLE,5490,ESSENCE,2021,20710.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1320,VOLKSWAGEN,GOLF,AUTOMATIQUE,91350,DIESEL,2018,26240.0,Nouvelle-Aquitaine,Lot-et-Garonne,Second-Hand
