,Brand,Model,Gear,KM,Category,Energie,Year,Price,longitude,latitude,State
122,RENAULT,MEGANE,MANUELLE,22109,Second-Hand,DIESEL,2020,20810.0,2.4807221,48.8202631,ÎLE-DE-FRANCE
123,RENAULT,CLIO,AUTOMATIQUE,104963,Second-Hand,DIESEL,2018,11440.0,0.3572301,45.0368494,NOUVELLE-AQUITAINE
124,RENAULT,MEGANE,MANUELLE,18714,Second-Hand,DIESEL,2020,21220.0,2.2384215,48.903225299999995,ÎLE-DE-FRANCE
125,RENAULT,CLIO,MANUELLE,11,New,ESSENCE,2021,15800.0,6.3639481,47.810984499999996,BOURGOGNE-FRANCHE-COMTÉ
126,RENAULT,CAPTUR,MANUELLE,75396,Second-Hand,DIESEL,2017,11540.0,4.877194,45.811371,AUVERGNE-RHÔNE-ALPES
127,PEUGEOT,108,MANUELLE,122,Second-Hand,ESSENCE,2021,15700.0,2.4807221,48.8202631,ÎLE-DE-FRANCE
128,PEUGEOT,308,AUTOMATIQUE,98829,Second-Hand,DIESEL,2020,17730.0,4.9245801999999985,45.7648758,AUVERGNE-RHÔNE-ALPES
129,PEUGEOT,208,MANUELLE,37292,Second-Hand,ESSENCE,2020,13620.0,1.0465014000000001,49.4180309,NORMANDIE
130,PEUGEOT,308,MANUELLE,12,New,ESSENCE,2021,29020.0,1.9119781000000002,48.7623634,ÎLE-DE-FRANCE
131,PEUGEOT,3008,MANUELLE,15139,Second-Hand,ESSENCE,2021,33780.0,2.2734104,48.90294129999999,ÎLE-DE-FRANCE
132,PEUGEOT,208,MANUELLE,57546,Second-Hand,DIESEL,2020,14730.0,4.863610599999999,45.7173342,AUVERGNE-RHÔNE-ALPES
133,PEUGEOT,308,AUTOMATIQUE,11,New,DIESEL,2021,28870.0,2.4561754000000002,48.8501864,ÎLE-DE-FRANCE
134,PEUGEOT,308,AUTOMATIQUE,11,New,ESSENCE,2021,25060.0,5.580835599999999,43.28567,PROVENCE-ALPES-CÔTE D'AZUR
135,PEUGEOT,3008,MANUELLE,29511,Second-Hand,ESSENCE,2021,30230.0,-0.5104989999999999,44.878583,NOUVELLE-AQUITAINE
136,PEUGEOT,208,MANUELLE,6,New,ESSENCE,2021,16780.0,5.037298000000002,43.436943,PROVENCE-ALPES-CÔTE D'AZUR
137,PEUGEOT,208,MANUELLE,10441,Second-Hand,ESSENCE,2020,14540.0,5.037298000000002,43.436943,PROVENCE-ALPES-CÔTE D'AZUR
138,PEUGEOT,2008,MANUELLE,22449,Second-Hand,ESSENCE,2019,16100.0,3.121595,50.631513,HAUTS-DE-FRANCE
139,PEUGEOT,208,MANUELLE,28549,Second-Hand,ESSENCE,2019,17710.0,-0.5104989999999999,44.878583,NOUVELLE-AQUITAINE
140,PEUGEOT,208,MANUELLE,23291,Second-Hand,ESSENCE,2020,15650.0,4.8620739,45.716894,AUVERGNE-RHÔNE-ALPES
141,CITROEN,C4 CACTUS,MANUELLE,13791,Second-Hand,DIESEL,2020,21940.0,0.6384603999999999,48.7438061,NORMANDIE
142,CITROEN,C3,MANUELLE,109882,Second-Hand,DIESEL,2019,12260.0,4.398725,45.4626731,AUVERGNE-RHÔNE-ALPES
143,CITROEN,C3,MANUELLE,50466,Second-Hand,DIESEL,2020,15930.0,0.7671490000000001,45.1825438,NOUVELLE-AQUITAINE
144,CITROEN,C5 AIRCROSS,MANUELLE,4246,Second-Hand,DIESEL,2021,30220.0,2.2792873,49.865504200000004,HAUTS-DE-FRANCE
145,CITROEN,C4 CACTUS,AUTOMATIQUE,45342,Second-Hand,ESSENCE,2019,17730.0,2.2384215,48.903225299999995,ÎLE-DE-FRANCE
146,CITROEN,C3,MANUELLE,65507,Second-Hand,ESSENCE,2018,12290.0,2.2792873,49.865504200000004,HAUTS-DE-FRANCE
147,CITROEN,C5 AIRCROSS,AUTOMATIQUE,30722,Second-Hand,DIESEL,2021,31010.0,0.1205319,44.5179365,NOUVELLE-AQUITAINE
148,CITROEN,C4,MANUELLE,50267,Second-Hand,ESSENCE,2017,13510.0,5.037298000000002,43.436943,PROVENCE-ALPES-CÔTE D'AZUR
149,CITROEN,C5 AIRCROSS,AUTOMATIQUE,52492,Second-Hand,DIESEL,2020,27730.0,2.2792873,49.865504200000004,HAUTS-DE-FRANCE
150,CITROEN,C3,MANUELLE,27623,Second-Hand,ESSENCE,2020,16290.0,3.0109543999999997,50.6449927,HAUTS-DE-FRANCE
151,TOYOTA,YARIS,AUTOMATIQUE,21441,Second-Hand,HYBRIDE,2020,16200.0,-0.5104989999999999,44.878583,NOUVELLE-AQUITAINE
152,TOYOTA,RAV4,AUTOMATIQUE,77970,Second-Hand,HYBRIDE,2017,25870.0,0.7923720000000001,45.199379,NOUVELLE-AQUITAINE
153,TOYOTA,C-HR,AUTOMATIQUE,16810,Second-Hand,HYBRIDE,2021,31530.0,2.2384215,48.903225299999995,ÎLE-DE-FRANCE
154,TOYOTA,YARIS,AUTOMATIQUE,12,New,HYBRIDE,2021,25500.0,-1.616473,48.1063327,BRETAGNE
155,TOYOTA,C-HR,AUTOMATIQUE,90750,Second-Hand,ESSENCE,2018,21650.0,6.8132901,47.24581149999999,BOURGOGNE-FRANCHE-COMTÉ
156,TOYOTA,YARIS,AUTOMATIQUE,11,New,HYBRIDE,2021,22660.0,4.9206997,45.66857630000001,AUVERGNE-RHÔNE-ALPES
157,TOYOTA,YARIS,AUTOMATIQUE,11,New,HYBRIDE,2021,22870.0,-1.616473,48.1063327,BRETAGNE
158,TOYOTA,YARIS,AUTOMATIQUE,11,New,HYBRIDE,2021,21610.0,4.9206997,45.66857630000001,AUVERGNE-RHÔNE-ALPES
159,TOYOTA,YARIS,AUTOMATIQUE,1677,Second-Hand,HYBRIDE,2017,14560.0,-1.616473,48.1063327,BRETAGNE
