Brand,Model,Gear,KM,Energie,Year,Price,Zip_code,longitude,latitude
RENAULT,Megane,Automatique,9000,Diesel,2020,25 900,51100,4.0333,49.25
RENAULT,Clio,Manuelle,20554,Diesel,2020,13 890,13100,5.51904,43.5195
RENAULT,Captur,Manuelle,7,Essence,2020,18 999,44400,-1.5497,47.1814
RENAULT,Clio,Manuelle,10859,Diesel,2019,13 990,2300,3.1815580645161283,49.5167
RENAULT,Zoe,Automatique,19088,Electrique,2018,10 990,62000,2.75395,50.28100000000001
RENAULT,Scenic,Manuelle,51007,Diesel,2017,14 490,7430,4.711266666666666,45.2524
RENAULT,Captur,Manuelle,54172,Diesel,2016,11 780,7430,4.711266666666666,45.2524
RENAULT,Captur,Manuelle,5000,Essence,2021,23 490,51100,4.0333,49.25
RENAULT,Captur,Manuelle,69504,Diesel,2015,11 190,13100,5.51904,43.5195
OPEL,Grandland x,Manuelle,11800,Essence,2019,20 995,37540,0.6667,47.4
RENAULT,Clio,Manuelle,89079,Diesel,2017,10 490,13700,5.2239,43.416000000000004
RENAULT,Kadjar,Manuelle,51780,Diesel,2016,14 990,10000,4.0852,48.3007
RENAULT,Clio,Automatique,50000,Diesel,2016,12 490,59640,2.377,51.033
RENAULT,Twingo,Manuelle,2916,Essence,2020,11 480,1000,5.2075,46.2022
RENAULT,Clio estate,Manuelle,75071,Diesel,2017,10 490,59470,2.419483333333333,50.8813
RENAULT,Kadjar,Manuelle,36591,Essence,2016,15 490,62110,2.9649,50.4136
RENAULT,Captur,Manuelle,16634,Essence,2018,12 990,93250,2.5,48.8833
HYUNDAI,I20,Manuelle,34680,Essence,2019,9 795,37540,0.6667,47.4
PEUGEOT,5008,Automatique,1914,Diesel,2020,36 999,37500,0.20540666666666668,47.1358
RENAULT,Captur,Manuelle,32925,Essence,2018,12 990,25300,6.350984615384616,46.9
RENAULT,Kadjar,Automatique,19103,Diesel,2018,21 990,25300,6.350984615384616,46.9
RENAULT,Clio,Manuelle,16984,Diesel,2019,13 190,13100,5.51904,43.5195
PEUGEOT,2008,Automatique,5,Electrique,2021,36 999,37540,0.6667,47.4
RENAULT,Captur,Automatique,9500,Hybride R,2021,31 975,62220,2.9582,50.4924
RENAULT,Captur,Automatique,10,Essence,2021,24 990,51530,3.9440588235294123,49.0107
RENAULT,Clio,Manuelle,10475,Diesel,2020,18 480,38200,4.903812500000001,45.4962
RENAULT,Megane,Manuelle,15005,Diesel,2019,16 980,1000,5.2075,46.2022
RENAULT,Clio,Manuelle,87967,Diesel,2016,10 490,59190,2.537025,50.7237
RENAULT,Twingo,Manuelle,26207,Essence,2017,7 490,2000,3.5761192307692307,49.5631
RENAULT,Clio,Manuelle,28765,Diesel,2020,17 490,51100,4.0333,49.25
RENAULT,Kadjar,Manuelle,44411,Diesel,2018,19 679,26000,4.8951,44.928000000000004
RENAULT,Captur,Automatique,5000,Hybride,2021,29 490,73200,6.373636363636364,45.6592
RENAULT,Megane,Manuelle,18331,Diesel,2020,15 990,2000,3.5761192307692307,49.5631
RENAULT,Captur,Automatique,22296,Diesel,2017,14 699,37540,0.6667,47.4
RENAULT,Kadjar,Manuelle,91469,Diesel,2017,15 490,73230,5.987283333333334,45.5863
RENAULT,Zoe,Automatique,10,Electrique,2019,24 880,26100,5.0562,45.0464
RENAULT,Megane,Manuelle,30355,Diesel,2015,10 286,54510,6.24165,48.6838
RENAULT,Clio,Manuelle,25000,Diesel,2020,14 990,59640,2.377,51.033
RENAULT,Captur,Manuelle,19465,Diesel,2020,18 990,2300,3.1815580645161283,49.5167
RENAULT,Koleos,Automatique,100,Essence,2021,33 990,59190,2.537025,50.7237
RENAULT,Master,Manuelle,1000,Diesel,2019,29 590,59190,2.537025,50.7237
