,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region
5741,PEUGEOT,208,MANUELLE,2430,Second-Hand,DIESEL,2021,25270.0,11000,2.3222997000000003,43.2128823,"BERRIAC, CARCASSONNE",OCCITANIE,AUDE
5742,PEUGEOT,308,AUTOMATIQUE,65601,Second-Hand,ESSENCE,2020,18460.0,77100,2.9004278,48.9571294,"NANTEUIL-LÈS-MEAUX, MAREUIL-LÈS-MEAUX, MEAUX",ÎLE-DE-FRANCE,SEINE-ET-MARNE
5743,CITROEN,C4,MANUELLE,11,New,ESSENCE,2021,23400.0,35510,-1.616473,48.1063327,CESSON-SÉVIGNÉ,BRETAGNE,ILLE-ET-VILAINE
5744,CITROEN,BERLINGO,MANUELLE,11,New,DIESEL,2021,19230.0,31150,1.4099102,43.6767996,"LESPINASSE, GAGNAC-SUR-GARONNE, GRATENTOUR, FENOUILLET, BRUGUIÈRES",OCCITANIE,HAUTE-GARONNE
5745,CITROEN,C3,MANUELLE,32767,Second-Hand,ESSENCE,2020,16630.0,63170,3.1374074,45.7531371,"AUBIÈRE, PÉRIGNAT-LÈS-SARLIÈVE",AUVERGNE-RHÔNE-ALPES,PUY-DE-DÔME
5746,CITROEN,C5 AIRCROSS,AUTOMATIQUE,6,New,DIESEL,2021,39730.0,42210,4.2311416,45.65143870000001,"SAINT-LAURENT-LA-CONCHE, SAINT-CYR-LES-VIGNES, CRAINTILLEUX, BELLEGARDE-EN-FOREZ, SAINT-ANDRÉ-LE-PUY, UNIAS, MONTROND-LES-BAINS, L’HÔPITAL-LE-GRAND, BOISSET-LÈS-MONTROND, MARCLOPT",AUVERGNE-RHÔNE-ALPES,LOIRE
5747,CITROEN,C3,MANUELLE,38155,Second-Hand,ESSENCE,2019,14380.0,84100,4.831500999999999,44.1220757,"ORANGE, UCHAUX",PROVENCE-ALPES-CÔTE D'AZUR,VAUCLUSE
5748,CITROEN,C3,MANUELLE,8330,Second-Hand,ESSENCE,2021,20810.0,92270,2.2775011000000003,48.9212786,BOIS-COLOMBES,ÎLE-DE-FRANCE,HAUTS-DE-SEINE
5749,CITROEN,C3,MANUELLE,35065,Second-Hand,ESSENCE,2020,16430.0,68110,7.3845865,47.77029570000001,ILLZACH,GRAND EST,HAUT-RHIN
5750,CITROEN,C4,MANUELLE,30,New,ESSENCE,2021,33190.0,38460,5.2354569,45.7313606,"SAINT-ROMAIN-DE-JALIONAS, CHOZEAU, CRÉMIEU, DIZIMIEU, OPTEVOZ, LEYRIEU, PANOSSAS, VÉNÉRIEU, VEYSSILIEU, CHAMAGNIEU, MORAS, SAINT-HILAIRE-DE-BRENS, VERNAS, SICCIEU-SAINT-JULIEN-ET-CARISIEU, VILLEMOIRIEU, SOLEYMIEU, TREPT, ANNOISIN-CHATELANS",AUVERGNE-RHÔNE-ALPES,ISÈRE
5751,CITROEN,C5 AIRCROSS,AUTOMATIQUE,9137,Second-Hand,DIESEL,2021,39890.0,13300,5.076536900000002,43.6328973,SALON-DE-PROVENCE,PROVENCE-ALPES-CÔTE D'AZUR,BOUCHES-DU-RHÔNE
5752,CITROEN,C5 AIRCROSS,AUTOMATIQUE,12,New,ESSENCE,2021,35920.0,82370,1.3088943000000002,43.8990521,"VARENNES, CAMPSAS, LABASTIDE-SAINT-PIERRE, ORGUEIL, NOHIC, REYNIÈS, SAINT-NAUPHARY, VILLEBRUMIER, CORBARIEU",OCCITANIE,TARN-ET-GARONNE
5753,TOYOTA,C-HR,AUTOMATIQUE,64313,Second-Hand,HYBRIDE,2018,20980.0,72000,0.1764165,47.98394329999999,LE MANS,PAYS DE LA LOIRE,SARTHE
5754,TOYOTA,C-HR,AUTOMATIQUE,34812,Second-Hand,HYBRIDE,2019,23860.0,56000,-2.7859791,47.669626,VANNES,BRETAGNE,MORBIHAN
5755,TOYOTA,AYGO,MANUELLE,15712,Second-Hand,ESSENCE,2021,12480.0,56600,-3.359254,47.775455,LANESTER,BRETAGNE,MORBIHAN
5756,TOYOTA,YARIS,AUTOMATIQUE,3425,Second-Hand,HYBRIDE,2021,17010.0,78530,2.1219805,48.7613245,BUC,ÎLE-DE-FRANCE,YVELINES
5757,TOYOTA,YARIS,MANUELLE,10873,Second-Hand,ESSENCE,2019,14610.0,93420,2.2761035,48.8277201,VILLEPINTE,ÎLE-DE-FRANCE,SEINE-SAINT-DENIS
5758,TOYOTA,YARIS,AUTOMATIQUE,44428,Second-Hand,HYBRIDE,2019,14400.0,56000,-2.7859791,47.669626,VANNES,BRETAGNE,MORBIHAN
5759,TOYOTA,COROLLA,AUTOMATIQUE,17168,Second-Hand,HYBRIDE,2020,25500.0,68180,7.408405099999999,48.07190139999999,HORBOURG-WIHR,GRAND EST,HAUT-RHIN
5760,TOYOTA,C-HR,AUTOMATIQUE,78639,Second-Hand,HYBRIDE,2018,18680.0,66000,2.8871036,42.6709716,PERPIGNAN,OCCITANIE,PYRÉNÉES-ORIENTALES
5761,TOYOTA,RAV4,AUTOMATIQUE,3780,Second-Hand,HYBRIDE,2021,42010.0,27000,1.1854537,49.0281651,ÉVREUX,NORMANDIE,EURE
5762,TOYOTA,C-HR,AUTOMATIQUE,44582,Second-Hand,HYBRIDE,2019,23290.0,42120,4.097002499999999,46.01284920000001,"SAINT-VINCENT-DE-BOISSET, NOTRE-DAME-DE-BOISSET, PERREUX, LE COTEAU, COMMELLE-VERNAY, PARIGNY",AUVERGNE-RHÔNE-ALPES,LOIRE
5763,TOYOTA,YARIS,AUTOMATIQUE,12784,Second-Hand,HYBRIDE,2019,18540.0,56400,-2.9610396,47.67196120000001,"BRECH, PLUMERGAT, AURAY, PLUNERET, SAINTE-ANNE-D'AURAY, PLOUGOUMELEN, BONO, PLOEMEL",BRETAGNE,MORBIHAN
