,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region,Scoring
7541,PEUGEOT,108,MANUELLE,10,New,ESSENCE,2021,15690.0,63000,3.0863,45.7797,CLERMONT-FERRAND,AUVERGNE-RHÔNE-ALPES,PUY-DE-DÔME,8.64
7542,PEUGEOT,108,MANUELLE,12298,Second-Hand,ESSENCE,2019,10920.0,63000,3.0863,45.7797,CLERMONT-FERRAND,AUVERGNE-RHÔNE-ALPES,PUY-DE-DÔME,6.82
7543,PEUGEOT,308,MANUELLE,74396,Second-Hand,ESSENCE,2015,13280.0,13100,5.51904,43.5195,"SAINT-ANTONIN-SUR-BAYON, BEAURECUEIL, AIX-EN-PROVENCE, LE THOLONET, SAINT-MARC-JAUMEGARDE",PROVENCE-ALPES-CÔTE D'AZUR,BOUCHES-DU-RHÔNE,5.45
7544,PEUGEOT,3008,MANUELLE,64843,Second-Hand,DIESEL,2018,20980.0,38000,5.7224,45.1715,GRENOBLE,AUVERGNE-RHÔNE-ALPES,ISÈRE,5.0
7545,PEUGEOT,3008,MANUELLE,23816,Second-Hand,DIESEL,2019,28980.0,74600,6.073166666666666,45.8406,"QUINTAL, MONTAGNY-LES-LANCHES, SEYNOD",AUVERGNE-RHÔNE-ALPES,HAUTE-SAVOIE,5.91
7546,PEUGEOT,208,MANUELLE,54954,Second-Hand,ESSENCE,2019,12499.0,44400,-1.5497,47.1814,REZÉ,PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,5.91
7547,PEUGEOT,308,AUTOMATIQUE,39300,Second-Hand,DIESEL,2018,17990.0,59850,2.8351,50.7043,NIEPPE,HAUTS-DE-FRANCE,NORD,5.91
7548,PEUGEOT,208,MANUELLE,24337,Second-Hand,ESSENCE,2019,11590.0,60200,2.8261,49.4179,COMPIÈGNE,HAUTS-DE-FRANCE,OISE,6.36
7549,PEUGEOT,208,MANUELLE,21199,Second-Hand,DIESEL,2020,14499.0,64140,-0.4,43.3,"LONS, BILLÈRE",NOUVELLE-AQUITAINE,PYRÉNÉES-ATLANTIQUES,6.82
7550,PEUGEOT,2008,AUTOMATIQUE,1000,Second-Hand,ELECTRIQUE,2021,38650.0,33260,-1.1406,44.6287,LA TESTE-DE-BUCH,NOUVELLE-AQUITAINE,GIRONDE,9.55
7551,PEUGEOT,3008,AUTOMATIQUE,35021,Second-Hand,DIESEL,2020,28999.0,37500,0.20540666666666668,47.1358,"RIVIÈRE, ANCHÉ, CHINON, LIGRÉ, SAINT-BENOÎT-LA-FORÊT, CANDES-SAINT-MARTIN, CRAVANT-LES-COTEAUX, SEUILLY, SAINT-GERMAIN-SUR-VIENNE, LERNÉ, CINAIS, COUZIERS, LA ROCHE-CLERMAULT, THIZAY, MARÇAY",CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,6.82
7552,PEUGEOT,208,MANUELLE,17742,Second-Hand,ESSENCE,2019,12499.0,41260,1.3676,47.6162,LA CHAUSSÉE-SAINT-VICTOR,CENTRE-VAL DE LOIRE,LOIR-ET-CHER,6.82
7553,PEUGEOT,3008,AUTOMATIQUE,40465,Second-Hand,ESSENCE,2018,23490.0,10000,4.0852,48.3007,TROYES,GRAND EST,AUBE,6.36
7554,PEUGEOT,308,MANUELLE,10,New,DIESEL,2021,24699.0,64200,-1.5315,43.4801,"BASSUSSARRY, BIARRITZ, ARCANGUES",NOUVELLE-AQUITAINE,PYRÉNÉES-ATLANTIQUES,8.18
7555,PEUGEOT,208,MANUELLE,30277,Second-Hand,ESSENCE,2018,10690.0,13300,5.0954,43.6407,SALON-DE-PROVENCE,PROVENCE-ALPES-CÔTE D'AZUR,BOUCHES-DU-RHÔNE,5.91
7556,PEUGEOT,208,MANUELLE,22611,Second-Hand,ESSENCE,2019,11990.0,64122,-1.6992,43.3636,URRUGNE,NOUVELLE-AQUITAINE,PYRÉNÉES-ATLANTIQUES,6.82
7557,PEUGEOT,2008,MANUELLE,51541,Second-Hand,ESSENCE,2019,15990.0,71000,4.820033333333334,46.3393,"VARENNES-LÈS-MÂCON, MÂCON, SANCÉ",BOURGOGNE-FRANCHE-COMTÉ,SAÔNE-ET-LOIRE,5.91
7558,PEUGEOT,308,MANUELLE,68716,Second-Hand,DIESEL,2018,16690.0,60200,2.8261,49.4179,COMPIÈGNE,HAUTS-DE-FRANCE,OISE,5.0
7559,PEUGEOT,208,MANUELLE,15672,Second-Hand,ESSENCE,2019,12299.0,79000,-0.4812666666666667,46.3231,"NIORT, BESSINES, SCIECQ",NOUVELLE-AQUITAINE,DEUX-SÈVRES,6.82
7560,PEUGEOT,208,AUTOMATIQUE,7000,Second-Hand,ELECTRIQUE,2021,26690.0,37170,0.7029,47.3354,CHAMBRAY-LÈS-TOURS,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,9.55
7561,PEUGEOT,208,MANUELLE,36965,Second-Hand,ESSENCE,2018,10499.0,41260,1.3676,47.6162,LA CHAUSSÉE-SAINT-VICTOR,CENTRE-VAL DE LOIRE,LOIR-ET-CHER,5.91
7562,PEUGEOT,3008,MANUELLE,73058,Second-Hand,DIESEL,2014,12799.0,86000,0.3333,46.5833,POITIERS,NOUVELLE-AQUITAINE,VIENNE,5.0
7563,PEUGEOT,208,MANUELLE,19531,Second-Hand,ESSENCE,2019,10999.0,16430,0.14593333333333333,45.7167,"BALZAC, VINDELLE, CHAMPNIERS",NOUVELLE-AQUITAINE,CHARENTE,6.82
7564,PEUGEOT,3008,AUTOMATIQUE,8000,Second-Hand,HYBRIDE,2021,43290.0,26000,4.8951,44.928000000000004,VALENCE,AUVERGNE-RHÔNE-ALPES,DRÔME,9.09
7565,PEUGEOT,3008,AUTOMATIQUE,107120,Second-Hand,DIESEL,2018,23299.0,79000,-0.4812666666666667,46.3231,"NIORT, BESSINES, SCIECQ",NOUVELLE-AQUITAINE,DEUX-SÈVRES,5.0
7566,PEUGEOT,308,AUTOMATIQUE,5000,Second-Hand,ESSENCE,2020,24999.0,37540,0.6667,47.4,SAINT-CYR-SUR-LOIRE,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,8.18
7567,PEUGEOT,2008,MANUELLE,50982,Second-Hand,ESSENCE,2014,10499.0,37170,0.7029,47.3354,CHAMBRAY-LÈS-TOURS,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,5.91
7568,PEUGEOT,3008,AUTOMATIQUE,20000,Second-Hand,DIESEL,2020,30990.0,34500,3.214,43.3412,BÉZIERS,OCCITANIE,HÉRAULT,7.27
7569,PEUGEOT,2008,MANUELLE,63250,Second-Hand,DIESEL,2017,15980.0,38000,5.7224,45.1715,GRENOBLE,AUVERGNE-RHÔNE-ALPES,ISÈRE,5.0
7570,PEUGEOT,3008,MANUELLE,50579,Second-Hand,DIESEL,2016,23890.0,60200,2.8261,49.4179,COMPIÈGNE,HAUTS-DE-FRANCE,OISE,5.45
7571,PEUGEOT,208,MANUELLE,26595,Second-Hand,ESSENCE,2019,11299.0,37540,0.6667,47.4,SAINT-CYR-SUR-LOIRE,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,6.36
7572,PEUGEOT,3008,AUTOMATIQUE,5206,Second-Hand,DIESEL,2020,30590.0,64300,-0.7441782608695651,43.5125,"MASLACQ, OZENX-MONTESTRUCQ, LAÀ-MONDRANS, SARPOURENX, ORTHEZ, BÉRENX, SALLES-MONGISCARD, LABEYRIE, BALANSUN, LACADÉE, LOUBIENG, CASTÉTIS, BIRON, BAIGTS-DE-BÉARN, CASTETNER, MONT, SAINT-GIRONS-EN-BÉARN, LANNEPLAÀ, ARGAGNON, SAULT-DE-NAVAILLES, SAINT-BOÈS, BONNUT, SALLESPISSE",NOUVELLE-AQUITAINE,PYRÉNÉES-ATLANTIQUES,7.73
